StudentID,Sem1Percentage,Sem2Percentage,Sem3Percentage,Sem4Percentage,Sem1Attendance,Sem2Attendance,Sem3Attendance,Sem4Attendance,Internship
1,68.72700594,59.25664644,63.08528419,83.63514971,85.93027816,61.55197819,88.81071696,96.54312046,No
2,97.53571532,77.09504737,62.34893995,89.83406986,66.89545448,67.47090113,87.49132018,81.01441927,Yes
3,86.59969709,93.64729179,95.31272903,62.52339494,94.89578253,93.2498322,63.83016795,88.99641087,Yes
4,79.93292421,86.61124432,62.47730999,81.24370498,84.52464956,90.67073425,96.9028962,77.44193192,No
5,57.80093202,90.32805739,63.59748631,78.58729916,66.28815534,74.02570766,82.73888809,85.2013831,No
6,57.79972602,82.93916834,87.96991312,91.64151884,98.4935223,75.07242511,74.54902085,73.6230375,No
7,52.90418061,84.61382823,72.48699212,95.30435302,80.73461853,81.34217734,90.26154334,72.04636079,No
8,93.30880729,92.45978258,88.83552785,50.60783857,62.91593807,60.00964019,70.29461834,83.12919145,No
9,80.05575059,62.48340044,53.26830788,83.70099595,85.07331618,69.64977344,87.74039348,79.92518697,No
10,85.40362889,74.47124818,74.37855968,52.59178996,70.12795628,68.32927234,61.5884483,83.18145477,No
11,51.02922471,61.06047209,51.68068001,77.44293325,92.14773808,70.01931787,93.5763215,71.46642325,No
12,98.49549261,99.3834004,53.13266017,64.38163645,92.71288294,92.2362337,77.92683388,74.67831327,No
13,91.62213204,97.20296698,95.32187267,65.33882998,99.15789423,71.18695426,85.46771657,63.35591843,No
14,60.61695553,51.97134057,56.96226856,67.64792517,80.07478124,67.66085288,68.84951279,62.09105489,No
15,59.09124836,85.27875863,76.62103411,81.06462245,78.19827519,80.17053843,87.08294851,70.13828519,Yes
16,59.17022549,96.26241587,70.55478013,66.70249828,90.13902422,94.62580145,90.88961104,62.96987437,No
17,65.21211215,59.02876726,67.36716631,86.63495253,65.29882625,69.65398815,78.92852748,64.15098835,Yes
18,76.23782158,78.39726153,94.99166728,70.22636928,81.87662055,63.14144971,84.70907696,92.51713622,No
19,71.59725093,95.77441488,51.09116984,53.41766002,81.84990401,74.25618943,78.25303695,61.55494788,Yes
20,64.56145701,51.69729893,83.18948431,89.18799212,63.57892491,89.90607298,95.76365477,86.35771176,Yes
21,80.59264474,84.87101336,98.16972171,64.28791623,76.71936342,82.02762179,79.91476722,70.90230995,No
22,56.97469303,64.86745037,78.00840917,71.63834398,94.13139194,92.67173478,93.67234836,94.86182723,No
23,64.60723243,96.21980977,96.8411231,84.27219416,94.24614488,98.3836859,92.05408233,79.39969138,No
24,68.31809216,98.55291226,52.61289396,66.62280786,63.9695066,91.70649907,76.42019285,72.22305837,No
25,72.80349921,97.21332446,70.93966595,52.82928281,63.62883531,84.15212315,69.20337967,80.70555743,No
26,89.25879807,73.71071083,63.00788955,68.69605235,70.50781908,79.73366352,76.2432853,75.27832076,Yes
27,59.98368911,93.10213255,86.54104825,97.22242913,94.9906425,61.60276345,93.04869503,82.57204259,No
28,75.71172192,92.22746993,99.06485452,82.08671986,65.1561034,99.37287915,69.10530143,64.58131473,No
29,79.62072844,65.95502366,62.82650312,83.57395743,88.79987211,75.3392449,80.97745383,99.87962011,No
30,52.32252064,91.44577371,82.70873007,81.61410768,64.04662478,66.08912856,92.24386992,77.02223511,No
31,80.3772426,51.85038174,59.90488164,59.94960695,84.92551415,86.66835422,74.13909901,73.92922559,No
32,58.52620618,79.81349392,78.26651273,70.91669321,74.24269196,71.37153156,85.68838548,88.40839393,No
33,53.25257965,61.50044186,73.19662433,87.54698992,91.55655852,83.43113084,69.82526296,74.55597626,No
34,97.44427686,56.02834429,98.60026648,55.06864488,69.34761795,83.47071631,64.37117781,93.3309722,No
35,98.28160165,53.84766008,80.42636363,63.8926388,85.56807318,77.82919284,91.775369,78.17082897,No
36,90.41986741,84.81443879,67.4753186,63.81595542,69.42730138,93.44474462,63.95874494,88.78233653,No
37,65.23068846,66.99374819,55.70478924,71.60094638,88.54641132,70.59868246,70.8552558,64.29812866,Yes
38,54.8836057,86.23833858,57.56234144,99.01843705,94.94712138,77.94530366,94.20437688,93.84476742,No
39,84.21165133,53.26781704,61.2658465,53.37512733,65.07207197,81.50768514,73.85877148,89.42871947,No
40,72.00762469,65.76451689,62.54833307,75.93504972,94.66382754,86.54498883,98.92181398,68.46867114,Yes
41,56.10191174,76.97456462,92.53080289,58.9682341,83.74301018,91.35887402,99.18937339,65.81144039,No
42,74.75884551,89.53615824,78.06113941,98.53382727,65.08441963,75.79229132,70.73104082,72.65169395,No
43,51.71942606,65.93762515,76.16954557,55.66517524,77.10167421,85.84187776,61.63912889,99.04282344,No
44,95.4660201,81.29456882,55.73844359,70.18005012,66.43441174,66.02443812,88.20253137,70.27326298,No
45,62.93899908,94.29888741,93.00698467,86.89424924,88.01391555,97.30592402,78.03946011,78.24508836,No
46,83.12611422,80.79315941,86.14071516,85.2277214,90.35472538,75.32235226,64.03011376,61.20080903,Yes
47,65.5855538,61.64797374,53.3834181,71.13643184,64.23186081,89.18085688,88.30091276,75.88910118,No
48,76.00340106,51.22003908,85.39175486,67.3262084,80.24559411,60.81364328,61.24699636,82.85280062,No
49,77.33551397,93.5049437,77.17691087,69.88061893,92.58500224,68.20748572,94.80786762,98.1249845,No
50,59.24272278,51.06347054,54.08626729,63.21381316,97.44652166,79.48330177,65.54610116,80.6694418,Yes
51,98.47923139,93.73508363,72.91503208,60.26664694,80.54071467,95.13009871,65.09247515,92.76429305,Yes
52,88.75664117,76.4468567,74.23481436,74.15198488,98.01116894,81.090206,67.02689192,81.8851057,No
53,96.97494708,96.95338493,58.28872701,63.4266878,81.42755882,97.19481929,98.41065434,61.63140054,No
54,94.74136752,89.93916179,97.28490735,64.37308324,75.76761978,79.35187586,87.72677441,72.60033101,No
55,79.89499894,99.89670553,92.49876857,82.83780317,93.92812514,79.61796387,92.05486142,83.02198031,No
56,96.09371175,67.53559077,83.45111687,98.42686658,79.71930842,64.78987154,75.90539943,98.02375864,No
57,54.4246251,88.35941445,73.11477805,80.18186003,78.87610042,92.10624977,73.4525091,94.36521439,No
58,59.79914312,70.09654568,70.58827708,53.84897335,79.61249958,69.8786165,69.37936027,69.13422457,No
59,52.26136445,73.99378102,82.54867336,53.77918069,93.87140007,95.98449957,79.22592113,68.8043932,Yes
60,66.26651654,81.37527316,77.27159347,97.57116104,93.27766167,96.43296881,82.07314934,68.04691868,No
61,69.43386448,93.68385571,53.11365529,64.86453952,76.1407997,97.73240447,85.27099375,96.89995585,No
62,63.56745159,99.20417346,75.62513244,54.6033493,73.33199439,80.80921956,70.28474016,94.10664612,No
63,91.43687546,88.41367069,90.32018086,79.95222936,79.67712096,87.08375139,97.94616324,90.99533729,No
64,67.83766633,70.88833911,72.96199388,81.18243891,82.91090039,91.1406352,66.79033993,75.70940457,No
65,64.04672548,71.06785011,52.59782888,82.42524101,69.53348843,65.24058475,98.62612699,80.17522817,No
66,77.13480416,86.87911508,89.31390997,63.37010139,91.75820339,84.0382878,60.5942449,78.57326979,No
67,57.04621125,61.93885729,60.06818911,50.75553421,79.45931063,61.37191605,79.24502767,70.1359243,No
68,90.10984904,55.52370566,62.93104174,98.25076847,73.36182194,79.90264334,73.33471352,80.20112185,No
69,53.72753218,67.73110788,58.23531767,62.54465228,64.27283972,66.19370726,77.96493656,61.21986191,No
70,99.34434683,64.36194958,66.51075324,83.8013144,69.55380642,67.31691704,82.82658316,65.27241494,No
71,88.61223846,64.81540602,87.83757528,85.33149349,97.97124687,74.60190267,77.42356632,95.46358385,No
72,59.93578408,61.68038755,75.96929298,80.50037085,72.20398747,77.29748667,76.59387401,90.06719068,No
73,50.27610586,52.10465948,60.24406371,65.64536971,66.75437157,84.92689698,89.30893662,76.91473636,Yes
74,90.77307142,50.89369674,93.89150391,63.55481269,78.42691167,62.97713674,87.435051,80.68601449,No
75,85.34286719,99.38611949,93.97909275,79.88341414,72.28350973,80.14767045,93.33085128,74.79995544,No
76,86.4503584,71.38865669,93.52892125,93.30478168,61.40637001,67.30500521,69.99835925,89.63119469,No
77,88.56351733,69.21633236,61.93981057,97.33668645,72.92580869,82.959007,84.38114039,91.36748717,Yes
78,53.70223259,83.98236413,72.56196721,55.29529022,81.76434496,85.49618449,83.40779142,90.53140761,No
79,67.92328643,60.91269439,99.24948281,57.74143063,82.06849488,82.26837026,74.78951243,88.90446899,Yes
80,55.79345298,97.4980592,88.60062382,97.23681294,74.26235685,89.53182042,79.44230168,68.18017355,No
81,93.15517129,89.31725072,51.35837106,86.82676142,77.89211025,73.42436977,72.55128573,73.51879917,No
82,81.16490634,54.47055012,53.26022956,94.14969124,98.62071673,90.60426367,65.6737759,78.7938174,No
83,66.54490124,70.87903879,73.19656884,60.13163171,75.09393909,77.31068327,68.55204843,73.23171966,Yes
84,53.17791751,93.95591538,95.46101029,79.37929356,70.32907253,79.36737993,64.22054586,90.19760801,Yes
85,65.54911609,97.23660111,76.9350899,85.05697972,69.73868176,85.92408509,87.32278301,73.17414097,Yes
86,66.2591661,73.37007556,74.8906254,84.00559427,78.31058451,60.73433536,86.42909572,65.52928347,Yes
87,86.48030892,80.67056946,55.273685,70.40758454,90.38080595,86.15976886,98.02425486,75.96161808,No
88,81.87787357,58.3516973,82.83900524,50.76974458,68.23952737,84.74340596,89.18713655,99.19657731,No
89,94.36063713,99.55843131,91.10515803,79.14630284,88.37184509,72.39388467,62.08183355,69.03525652,No
90,73.61074626,61.58358507,69.02100038,62.65507696,60.84599293,63.4317714,95.36980696,84.48634636,No
91,55.9797123,97.13658871,88.78059255,72.51271231,76.75731912,63.637418,94.50700652,77.31892199,Yes
92,85.66223936,82.48233245,98.2238327,97.87905075,91.03460261,96.92894988,77.73281283,62.84098271,Yes
